Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Campilobacterota,Campylobacteria,*Campylobacterales*,0,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Liptonbacteria*,0,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*C86*,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Elsterales*,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*CCM19a*,0,0,0,0,0,0
Bacteria,TA06,TA06,*TA06*,0,0,0,0,0,0
Archaea,Aenigmarchaeota,Deep_Sea_Euryarchaeotic_Group(DSEG),*Deep_Sea_Euryarchaeotic_Group(DSEG)*,0,0,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Order* (*of*) Acidobacteriae,0,0,0,0,0,0
Bacteria,Acidobacteriota,Thermoanaerobaculia,*Thermoanaerobaculales*,0,0,0,0,0,0
Bacteria,Firmicutes,Thermacetogenia,*Thermacetogeniales*,0,0,0,0,0,0
Bacteria,NKB15,NKB15,*NKB15*,0,0,0,0,0,0
Bacteria,Nitrospinota,P9X2b3D02,*P9X2b3D02*,0,0,0,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,*Order* (*of*) Gracilibacteria,0,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Colwellbacteria*,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*SS1-B-09-64*,0,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,*SM1A07*,0,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*MSB-4B10*,0,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*SAR202_clade*,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Lachnospirales*,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Puniceispirillales*,0,0,0,0,0,0
