Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Spirochaetota,Spirochaetia,*Spirochaetales*,0.01,0,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,*Woesearchaeales*,0,0.01,0,0
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidetes_VC2.1_Bac22*,0,0.01,0,0
Bacteria,Chloroflexi,Chloroflexia,*Chloroflexales*,0,0.01,0,0
Bacteria,Cyanobacteria,Vampirivibrionia,*Vampirovibrionales*,0,0.01,0,0
Bacteria,Fibrobacterota,Chitinivibrionia,*Chitinivibrionales*,0,0.01,0,0
Bacteria,Firmicutes,Clostridia,*Caldicoprobacterales*,0,0.01,0,0
Bacteria,Firmicutes,Symbiobacteriia,*Symbiobacteriales*,0,0.01,0,0
Bacteria,Planctomycetota,Planctomycetes,*Order* (*of*) Planctomycetes,0,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Francisellales*,0,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Tenderiales*,0,0.01,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Methylacidiphilales*,0,0.01,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,*Limnotrichales*,0,0,0,0
Bacteria,Firmicutes,Bacilli,*Izemoplasmatales*,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Clostridia_UCG-014*,0,0,0,0
Bacteria,Modulibacteria,Moduliflexia,*Moduliflexales*,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Jorgensenbacteria*,0,0,0,0
Bacteria,Planctomycetota,vadinHA49,*vadinHA49*,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Order* (*of*) Acidobacteriae,0,0,0,0
Bacteria,Armatimonadota,Fimbriimonadia,*Fimbriimonadales*,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Peptococcales*,0,0,0,0
Bacteria,Firmicutes,Syntrophomonadia,*Syntrophomonadales*,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Kiloniellales*,0,0,0,0
