Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,*Rubritaleaceae*,0.02,0.04,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,EV818SWSAP88,*EV818SWSAP88*,0,0.02,0.03,0
Bacteria,Elusimicrobiota,Lineage_IIb,Lineage_IIb,*Lineage_IIb*,0.03,0.02,0,0
Bacteria,Myxococcota,Polyangia,mle1-27,*mle1-27*,0,0.01,0.04,0
Bacteria,Desulfobacterota,Desulfuromonadia,PB19,*PB19*,0.03,0.01,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Williamwhitmaniaceae*,0.04,0.01,0,0
Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,*Sumerlaeaceae*,0,0.05,0,0
Bacteria,Firmicutes,Clostridia,Christensenellales,*Christensenellaceae*,0.02,0.02,0,0
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,*LWQ8*,0.04,0,0,0
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Collierbacteria,*Candidatus_Collierbacteria*,0.03,0.01,0,0
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,*Methanobacteriaceae*,0.03,0.02,0,0
Bacteria,Desulfobacterota,Class of Desulfobacterota,Order of Desulfobacterota,*Family* (*of*) Desulfobacterota,0,0.04,0,0.01
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Phormidiaceae*,0.01,0.03,0,0
Bacteria,RCP2-54,RCP2-54,RCP2-54,*RCP2-54*,0.01,0.03,0,0
Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,*WCHB1-41*,0.02,0.01,0.01,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Family* (*of*) Rhizobiales,0,0.01,0.02,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,*Beggiatoaceae*,0.04,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,11-24,*11-24*,0,0.04,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,*Elsteraceae*,0,0.01,0,0.02
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,*Candidatus_Peregrinibacteria*,0.03,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Marinilabiliaceae*,0.03,0.01,0,0
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,*Desulfomicrobiaceae*,0.02,0.02,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,*Bacillaceae*,0.01,0.02,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*B1-7BS*,0,0.03,0,0
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,*Candidatus_Woesebacteria*,0.01,0.01,0,0.01
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Hymenobacteraceae*,0,0.02,0,0.01
Bacteria,Firmicutes,Clostridia,Clostridiales,*Caloramatoraceae*,0.02,0.01,0,0.01
Bacteria,LCP-89,LCP-89,LCP-89,*LCP-89*,0.03,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,*Blastocatellaceae*,0,0.01,0.02,0
Bacteria,Proteobacteria,Gammaproteobacteria,HglApr721,*HglApr721*,0,0,0,0.03
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*CMW-169*,0.02,0.01,0,0
Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,*Victivallales*,0.02,0.01,0,0
Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,*Armatimonadaceae*,0.01,0,0.01,0.01
Bacteria,Planctomycetota,BD7-11,BD7-11,*BD7-11*,0,0.02,0,0
Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,*Silvanigrellaceae*,0,0.03,0,0
Bacteria,Firmicutes,Bacilli,RF39,*RF39*,0,0.03,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,*Family* (*of*) Elsterales,0,0.03,0,0
Bacteria,Acidobacteriota,Holophagae,Subgroup_7,*Subgroup_7*,0.01,0,0.01,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*TRA3-20*,0.01,0,0.01,0
Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,*MVP-88*,0.03,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),*Absconditabacteriales_(SR1)*,0.01,0.01,0,0
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,*Bifidobacteriaceae*,0.01,0.02,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,*Alcanivoracaceae*,0.01,0.02,0,0
Bacteria,Chloroflexi,OLB14,OLB14,*OLB14*,0,0.02,0,0
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,*Iamiaceae*,0,0,0.02,0
Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,*Dongiaceae*,0,0.01,0,0.01
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Abawacabacteria,*Candidatus_Abawacabacteria*,0.02,0,0,0
Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,*AKYG1722*,0.01,0,0.01,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*A21b*,0,0.01,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Marinifilaceae*,0.02,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,*Geminicoccaceae*,0.01,0.01,0,0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Brevibacteriaceae*,0,0.02,0,0
Bacteria,Actinobacteriota,Actinobacteria,PeM15,*PeM15*,0,0.02,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,*Babeliaceae*,0,0.02,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,*NRL2*,0,0.02,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*T34*,0,0,0,0.01
Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,*Desulfitobacteriaceae*,0.01,0,0,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,EC3,*EC3*,0,0,0.02,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Pleomorphomonadaceae*,0,0,0,0.02
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Chlamydiaceae*,0.01,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,*JGI_0000069-P22*,0.02,0,0,0
Bacteria,Firmicutes,Clostridia,Clostridia,*Gracilibacteraceae*,0.01,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Cyclobacteriaceae*,0,0.01,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Family* (*of*) Cytophagales,0,0.01,0.01,0
Bacteria,NB1-j,NB1-j,NB1-j,*NB1-j*,0,0.01,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Muribaculaceae*,0.01,0.01,0,0
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,*Fusobacteriaceae*,0.01,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Psychromonadaceae*,0.01,0.01,0,0
Bacteria,Firmicutes,Bacilli,Paenibacillales,*Paenibacillaceae*,0,0.01,0,0
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,*Dadabacteriales*,0,0.02,0,0
Bacteria,Verrucomicrobiota,Lentisphaeria,SS1-B-02-17,*SS1-B-02-17*,0,0.02,0,0
Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,*Kineosporiaceae*,0,0,0.01,0
Bacteria,Chloroflexi,KD4-96,KD4-96,*KD4-96*,0,0,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Dysgonomonadaceae*,0.01,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*M2PB4-65_termite_group*,0.01,0,0,0
Bacteria,Desulfobacterota,Syntrophia,Syntrophales,*Syntrophaceae*,0.01,0,0,0
Bacteria,Patescibacteria,Berkelbacteria,Berkelbacteria,*Berkelbacteria*,0.01,0,0,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Criblamydiaceae*,0.01,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,*Sporichthyaceae*,0,0,0.01,0
Bacteria,Armatimonadota,Class of Armatimonadota,Order of Armatimonadota,*Family* (*of*) Armatimonadota,0,0,0.01,0
Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,*Desulfotomaculales*,0,0,0,0
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,*Coriobacteriaceae*,0.01,0,0,0
Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,*Ardenticatenaceae*,0.01,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Chitinimonadaceae*,0.01,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*SB-5*,0,0.01,0,0
Bacteria,Firmicutes,Clostridia,Order of Clostridia,*Family* (*of*) Clostridia,0,0.01,0,0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Family* (*of*) Micrococcales,0,0.01,0,0
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,*Veillonellaceae*,0,0.01,0,0
Bacteria,Firmicutes,Class of Firmicutes,Order of Firmicutes,*Family* (*of*) Firmicutes,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,*Azospirillaceae*,0,0,0,0.01
Bacteria,Acidobacteriota,Acidobacteriae,Elev-16S-1166,*Elev-16S-1166*,0,0.01,0,0
Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,*Pseudonocardiaceae*,0,0.01,0,0
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,*Solirubrobacteraceae*,0,0.01,0,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*FFCH9454*,0,0.01,0,0
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,*Sulfurospirillaceae*,0,0.01,0,0
Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,*Desulforegulaceae*,0,0.01,0,0
Bacteria,Firmicutes,Clostridia,Clostridiales,*Oxobacteraceae*,0,0.01,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,*Eubacteriaceae*,0,0.01,0,0
Bacteria,Myxococcota,bacteriap25,bacteriap25,*bacteriap25*,0,0.01,0,0
Bacteria,Planctomycetota,028H05-P-BN-P5,028H05-P-BN-P5,*028H05-P-BN-P5*,0,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,*Arenicellaceae*,0,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,*Chromatiaceae*,0,0.01,0,0
Bacteria,Chloroflexi,Anaerolineae,SBR1031,*SBR1031*,0,0,0.01,0
Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,*Caenarcaniphilales*,0,0,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*ST-12K33*,0.01,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,*Streptococcaceae*,0.01,0,0,0
Bacteria,Firmicutes,Clostridia,Oscillospirales,*[Eubacterium]_coprostanoligenes_group*,0.01,0,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Anaerovoracaceae*,0.01,0,0,0
Bacteria,Myxococcota,Polyangia,Order of Polyangia,*Family* (*of*) Polyangia,0.01,0,0,0
Bacteria,Myxococcota,Polyangia,Polyangiales,*BIrii41*,0.01,0,0,0
Bacteria,Patescibacteria,CPR2,CPR2,*CPR2*,0.01,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Lloydbacteria,*Candidatus_Lloydbacteria*,0.01,0,0,0
Bacteria,Spirochaetota,MVP-15,MVP-15,*MVP-15*,0.01,0,0,0
Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,*Spirochaetaceae*,0.01,0,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Fusibacteraceae*,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Labraceae*,0,0,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*SCGC_AAA011-D5*,0,0.01,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*ML635J-40_aquatic_group*,0,0.01,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,*Bacteroidetes_VC2.1_Bac22*,0,0.01,0,0
Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,*Vampirovibrionaceae*,0,0.01,0,0
Bacteria,Fibrobacterota,Chitinivibrionia,Chitinivibrionales,*Chitinivibrionaceae*,0,0.01,0,0
Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,*Caldicoprobacteraceae*,0,0.01,0,0
Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,*Symbiobacteraceae*,0,0.01,0,0
Bacteria,Planctomycetota,Planctomycetes,Order of Planctomycetes,*Family* (*of*) Planctomycetes,0,0.01,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,*Defluviicoccaceae*,0,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,*Francisellaceae*,0,0.01,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Tenderiales,*Tenderiaceae*,0,0.01,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,*Methylacidiphilaceae*,0,0.01,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Chroococcidiopsaceae*,0,0,0,0.01
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Cryomorphaceae*,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Family* (*of*) Bacteroidales,0,0,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Limnotrichales,*Limnotrichaceae*,0,0,0,0
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,*Erysipelatoclostridiaceae*,0,0,0,0
Bacteria,Firmicutes,Bacilli,Izemoplasmatales,*Izemoplasmataceae*,0,0,0,0
Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,*Clostridia_UCG-014*,0,0,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Sedimentibacteraceae*,0,0,0,0
Bacteria,Modulibacteria,Moduliflexia,Moduliflexales,*Moduliflexaceae*,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Jorgensenbacteria,*Candidatus_Jorgensenbacteria*,0,0,0,0
Bacteria,Planctomycetota,vadinHA49,vadinHA49,*vadinHA49*,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Chromobacteriaceae*,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,*Family* (*of*) Enterobacterales,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,Order of Acidobacteriae,*Family* (*of*) Acidobacteriae,0,0,0,0
Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,*Fimbriimonadaceae*,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,SBR1031,*Family* (*of*) SBR1031,0,0,0,0
Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,*Chloroflexaceae*,0,0,0,0
Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,*Roseiflexaceae*,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,*Family* (*of*) Babeliales,0,0,0,0
Bacteria,Firmicutes,Clostridia,Oscillospirales,*Family* (*of*) Oscillospirales,0,0,0,0
Bacteria,Firmicutes,Clostridia,Peptococcales,*Peptococcaceae*,0,0,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Acidaminobacteraceae*,0,0,0,0
Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,*Syntrophomonadaceae*,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,*Fodinicurvataceae*,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*SC-I-84*,0,0,0,0
