Kingdom,Phylum,Class,Order,Family,Tax_label,ABOR.S006,ABOR.S015,ABOR.S017,ABOR.S019,ABOR.S021,ABOR.S023,ABOR.S034,ABOR.S039,ABOR.S041,ABOR.S043,ABOR.S045,ABOR.S047
Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,*Parcubacteria*,0.47,0.09,0.03,0.02,0.03,0.01,0.55,0.3,0.05,0.11,0.33,0.18
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,*Burkholderiales* (*TRA3-20*),0.62,0.06,0.02,0.01,0,0.02,0.88,0.14,0.04,0.06,0.08,0.17
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Family of Omnitrophales,Genus of *Omnitrophales*,0.86,0.03,0,0.01,0,0.02,0.85,0.09,0.02,0.08,0.02,0.09
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Genus of *Pirellulaceae*,0.29,0.05,0.01,0.01,0.03,0.04,0.47,0.33,0.05,0.1,0.18,0.49
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,*Micrococcus*,0.32,0.15,0.07,0.11,0.28,0.12,0.02,0.31,0.17,0.15,0.14,0.12
Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,*Myxococcota* (*bacteriap25*),0.6,0.02,0.02,0.01,0.02,0.01,0.83,0.11,0.03,0.05,0.09,0.13
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonadaceae* (*MND1*),0.65,0.07,0.03,0.01,0.04,0.02,0.72,0.09,0.03,0.04,0.06,0.09
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,*Gallionella*,0.7,0.04,0.05,0.02,0.04,0.03,0.67,0.08,0.02,0.04,0.06,0.1
Bacteria,Planctomycetota,Phycisphaerae,S-70,S-70,*Phycisphaerae* (*S-70*),0.57,0.03,0.01,0.01,0.01,0.01,0.66,0.16,0.04,0.03,0.1,0.07
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Methyloversatilis*,0.08,0.1,0.14,0.06,0.08,0.06,0.01,0.15,0.08,0.09,0.07,0.75
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,*Cloacibacterium*,0.28,0.09,0.09,0.06,0.2,0.08,0.01,0.32,0.11,0.11,0.11,0.19
Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group,BD2-11_terrestrial_group,*Gemmatimonadota* (*BD2-11_terrestrial_group*),0.23,0.04,0.02,0.01,0.02,0.02,0.74,0.2,0.02,0.05,0.15,0.05
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,*Rhizobiales* (*A0839*),0.39,0.07,0.03,0.02,0.02,0.04,0.51,0.19,0.04,0.03,0.1,0.08
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanoperedenaceae,*Candidatus_Methanoperedens*,0.55,0.03,0.03,0.01,0.04,0.05,0.16,0.2,0.05,0.04,0.05,0.22
Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionales,*Vampirovibrionales*,0.34,0.08,0.04,0,0.01,0.01,0.36,0.14,0.06,0.05,0.07,0.23
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,Genus of *Micavibrionaceae*,0.34,0.06,0.02,0,0.01,0.02,0.55,0.1,0.02,0.05,0.05,0.18
Bacteria,Chloroflexi,Dehalococcoidia,Order of Dehalococcoidia,Family of Dehalococcoidia,Genus of *Dehalococcoidia*,0.25,0.1,0.01,0.01,0.01,0.01,0.29,0.13,0.01,0.08,0.09,0.4
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Genus of *Gemmataceae*,0.19,0.05,0.01,0,0.02,0,0.3,0.16,0.06,0.05,0.11,0.39
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Ideonella*,0,0.06,0.07,0.01,0.07,0.01,0,0.08,0.58,0.02,0.38,0.05
Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,*Entotheonellaceae*,0.6,0,0.02,0.01,0.01,0.03,0.44,0.03,0.01,0.04,0.02,0.08
Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,*Chloroflexi* (*JG30-KF-CM66*),0.38,0.04,0.03,0,0.03,0,0.42,0.12,0.03,0.08,0.06,0.08
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,*Sphingobacteriales* (*env.OPS_17*),0.45,0.02,0.02,0.01,0.01,0.01,0.55,0.05,0.01,0.04,0.07,0.04
Bacteria,Elusimicrobiota,Lineage_IIb,Lineage_IIb,Lineage_IIb,*Lineage_IIb*,0.57,0.02,0,0,0,0.01,0.59,0.04,0.01,0,0,0.03
Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,*Dehalococcoidia* (*S085*),0.3,0.06,0,0.01,0.02,0,0.38,0.12,0.03,0.04,0.07,0.2
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Brevundimonas*,0.01,0.01,0.05,0.01,0.04,0,0.02,0.07,0.02,0.03,0.91,0.07
Bacteria,Proteobacteria,Gammaproteobacteria,HglApr721,HglApr721,*Gammaproteobacteria* (*HglApr721*),0.27,0.07,0.04,0.01,0.07,0.03,0.29,0.12,0.04,0.05,0.04,0.18
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,*Obscuribacteraceae*,0.26,0.05,0.01,0.01,0.01,0.03,0.21,0.16,0.02,0.06,0.13,0.26
Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,*Anaerolineae* (*A4b*),0.04,0,0.01,0.01,0,0.01,0.31,0.19,0.02,0.1,0.14,0.36
Bacteria,Planctomycetota,BD7-11,BD7-11,BD7-11,*Planctomycetota* (*BD7-11*),0.41,0.03,0.03,0.01,0.01,0.02,0.43,0.09,0.02,0.04,0.04,0.01
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Genus of *Anaerolineaceae*,0.06,0.02,0.01,0.01,0.01,0.01,0.35,0.18,0.05,0.06,0.18,0.16
Archaea,Crenarchaeota,Bathyarchaeia,Bathyarchaeia,Bathyarchaeia,*Bathyarchaeia*,0.09,0.11,0.02,0,0.04,0.04,0.12,0.17,0.03,0.14,0.06,0.25
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,*Candidatus_Adlerbacteria*,0.1,0.08,0.01,0.01,0.01,0.01,0.21,0.06,0.02,0.08,0.21,0.28
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,*Pedomicrobium*,0.2,0.1,0.01,0.01,0,0,0.31,0.08,0.02,0.04,0.06,0.19
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,*Cutibacterium*,0.13,0.08,0.05,0.06,0.14,0.06,0.01,0.17,0.05,0.08,0.07,0.12
Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeia,Hadarchaeales,*Hadarchaeales*,0.21,0.07,0.04,0.01,0.02,0.02,0.17,0.07,0.02,0.02,0.16,0.2
Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales,*Babeliales*,0.43,0,0.02,0,0.01,0,0.4,0.05,0,0.03,0.03,0.03
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,*Candidatus_Peregrinibacteria*,0.33,0.04,0.02,0,0.02,0.01,0.29,0.1,0.02,0.03,0.1,0.04
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA011-D5,*Woesearchaeales* (*SCGC_AAA011-D5*),0.22,0.09,0.02,0.01,0.08,0.01,0.17,0.06,0.01,0.08,0.16,0.04
Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,Lineage_IV,*Lineage_IV*,0.2,0.06,0.01,0,0,0.01,0.22,0.11,0.02,0.05,0.1,0.14
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Family of Rhodospirillales,Genus of *Rhodospirillales*,0.37,0.03,0.03,0,0.01,0.01,0.3,0.03,0.02,0.02,0.04,0.06
Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Family of Methanofastidiosales,Genus of *Methanofastidiosales*,0.45,0.03,0.05,0.01,0.04,0.02,0.24,0,0,0.02,0.05,0
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,*Luteitalea*,0.31,0.02,0,0,0.02,0.01,0.31,0.02,0.01,0.01,0.04,0.13
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Family of Planctomycetales,Genus of *Planctomycetales*,0.19,0.04,0.01,0,0.02,0.02,0.31,0.04,0.05,0.04,0.08,0.08
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Genus of *Xanthobacteraceae*,0.16,0.04,0.01,0,0.01,0.01,0.26,0.07,0,0.03,0.08,0.21
Archaea,Aenigmarchaeota,Aenigmarchaeia,Aenigmarchaeales,Aenigmarchaeales,*Aenigmarchaeales*,0.11,0.08,0.03,0,0.04,0.03,0.07,0.01,0.06,0.09,0.13,0.22
Bacteria,Proteobacteria,Gammaproteobacteria,Order of Gammaproteobacteria,Family of Gammaproteobacteria,Genus of *Gammaproteobacteria*,0.31,0.03,0,0,0.01,0,0.33,0.07,0,0.01,0.01,0.07
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,*Sphingobacteriales* (*KD3-93*),0.31,0.01,0.01,0,0.01,0,0.38,0.02,0,0.02,0.03,0.06
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,*Labrys*,0.17,0.03,0,0,0.01,0,0.32,0.06,0.03,0.06,0.07,0.1
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,*Amphiplicatus*,0.18,0.05,0.02,0.01,0,0.01,0.24,0.1,0.02,0.04,0.02,0.14
Bacteria,BHI80-139,BHI80-139,BHI80-139,BHI80-139,*Bacteria* (*BHI80-139*),0.21,0.04,0.02,0.01,0.01,0.02,0.14,0.09,0.02,0.07,0.06,0.13
Bacteria,Proteobacteria,Alphaproteobacteria,Order of Alphaproteobacteria,Family of Alphaproteobacteria,Genus of *Alphaproteobacteria*,0.29,0.05,0.01,0,0,0,0.27,0.04,0,0.02,0.03,0.07
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Family of Sphingobacteriales,Genus of *Sphingobacteriales*,0.29,0.02,0.01,0,0,0,0.33,0.04,0,0.02,0.02,0.03
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Genus of *Simkaniaceae*,0.23,0.02,0.01,0,0,0.01,0.23,0.04,0.01,0.03,0.06,0.12
Bacteria,Proteobacteria,Alphaproteobacteria,Ferrovibrionales,Ferrovibrionales,*Taonella*,0.15,0.07,0.02,0,0.02,0.03,0.11,0.06,0.03,0.02,0.07,0.14
Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,*Bacteria* (*Sva0485*),0.16,0.03,0.02,0,0,0,0.24,0.09,0,0,0.03,0.13
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,*Candidatus_Azambacteria*,0.19,0.01,0,0,0,0.01,0.18,0.07,0.01,0.03,0.08,0.1
Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,*Phycisphaeraceae* (*SM1A02*),0.1,0.02,0,0,0,0,0.18,0.1,0.03,0.01,0.09,0.12
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellula*,0.1,0.01,0,0,0.02,0.02,0.22,0.05,0.03,0.05,0.04,0.11
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Genus of *Microscillaceae*,0.15,0.02,0.01,0,0.01,0.01,0.25,0.04,0.01,0.01,0.08,0.03
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Sediminibacterium*,0.18,0.08,0,0.01,0.01,0.03,0.11,0.03,0.03,0.03,0.09,0.06
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peribacteria,Candidatus_Peribacteria,*Candidatus_Peribacteria*,0.29,0,0.01,0,0.01,0,0.26,0.02,0,0.01,0.01,0.01
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,*Kocuria*,0.48,0.05,0.02,0.01,0.01,0,0,0.02,0.01,0,0.01,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Genus of *Rickettsiaceae*,0.32,0.02,0,0,0.01,0,0.23,0,0,0.01,0.02,0.02
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,*Woesearchaeales* (*GW2011_GWC1_47_15*),0.1,0.07,0,0,0.04,0.02,0.11,0.05,0,0,0.05,0.16
Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,PLTA13,*Gammaproteobacteria* (*PLTA13*),0.16,0.02,0.02,0.01,0.01,0.02,0.18,0.05,0,0.02,0.05,0.07
Bacteria,Nitrospirota,Thermodesulfovibrionia,Order of Thermodesulfovibrionia,Family of Thermodesulfovibrionia,Genus of *Thermodesulfovibrionia*,0.12,0.01,0,0.01,0,0.02,0.09,0.13,0.01,0.04,0.03,0.14
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Caulobacter*,0,0,0.47,0.01,0.06,0,0,0,0.01,0,0.03,0
Bacteria,RCP2-54,RCP2-54,RCP2-54,RCP2-54,*Bacteria* (*RCP2-54*),0.2,0.02,0.01,0,0,0.01,0.17,0.02,0.01,0.02,0.03,0.08
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Genus of *Diplorickettsiaceae*,0.19,0.02,0.02,0,0.01,0.01,0.18,0.05,0,0.02,0.02,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Genus of *Nitrosomonadaceae*,0.23,0.04,0,0.01,0.01,0,0.19,0.03,0,0.01,0.02,0.02
Bacteria,Desulfobacterota,Class of Desulfobacterota,Order of Desulfobacterota,Family of Desulfobacterota,Genus of *Desulfobacterota*,0.16,0.03,0,0,0,0.01,0.19,0.07,0,0.02,0.01,0.06
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Genus of *Holosporaceae*,0.15,0.04,0.02,0,0,0.01,0.13,0.02,0,0.04,0.03,0.09
Bacteria,Proteobacteria,Class of Proteobacteria,Order of Proteobacteria,Family of Proteobacteria,Genus of *Proteobacteria*,0.14,0,0,0,0,0,0.17,0.05,0.02,0,0.02,0.11
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingomonas*,0.07,0.03,0,0.02,0.05,0,0.1,0.06,0,0.01,0.14,0.02
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,*Gemmata*,0.1,0.01,0,0,0,0,0.2,0.08,0.02,0.02,0.02,0.04
Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,*Tepidisphaerales* (*WD2101_soil_group*),0.11,0.03,0.01,0,0.02,0.02,0.08,0.03,0.04,0.03,0.08,0.03
Bacteria,Planctomycetota,Phycisphaerae,CCM11a,CCM11a,*Phycisphaerae* (*CCM11a*),0.25,0,0,0,0,0,0.21,0,0,0.01,0,0.01
Bacteria,Acidobacteriota,Blastocatellia,11-24,11-24,*Blastocatellia* (*11-24*),0.15,0.01,0.01,0,0,0,0.17,0,0,0.04,0.01,0.09
Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),*Bacteria* (*SAR324_clade(Marine_group_B)*),0.19,0.01,0,0,0,0,0.13,0.03,0.01,0.01,0.01,0.06
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,*Candidatus_Obscuribacter*,0.06,0.02,0,0,0.01,0.02,0.04,0.09,0.01,0.02,0.05,0.13
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,koll11,*Omnitrophales* (*koll11*),0.2,0.02,0,0,0,0,0.17,0.02,0,0.01,0.02,0
Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,*Bryobacter*,0.15,0,0,0,0.01,0,0.22,0.02,0,0.01,0.02,0.01
Bacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,*Zixibacteria*,0.06,0.01,0,0,0,0,0.16,0.04,0.01,0.01,0.05,0.08
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,*Planctopirus*,0.08,0.03,0.01,0,0.02,0.01,0.12,0.07,0.01,0.01,0.05,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingorhabdus*,0.01,0.01,0.01,0.01,0.05,0,0,0.05,0.04,0,0.23,0.01
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae*,0.21,0.03,0,0,0,0,0.17,0,0,0.01,0,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,*Sphingobacteriales* (*AKYH767*),0.16,0.01,0,0,0,0,0.21,0.01,0,0,0.01,0.02
Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Subgroup_17,*Vicinamibacteria* (*Subgroup_17*),0.23,0,0,0,0,0.01,0.14,0,0,0.01,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Terrimonas*,0.07,0,0,0,0.01,0,0.23,0.03,0,0,0.04,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingosinicella*,0,0.08,0,0.01,0.06,0.02,0,0.03,0,0.01,0.17,0.01
Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Family of Oligoflexales,Genus of *Oligoflexales*,0.16,0,0.01,0,0,0,0.19,0,0.01,0,0,0
Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,*Haliangium*,0.16,0,0,0,0,0,0.16,0.01,0,0.01,0.01,0.02
Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,Pla4_lineage,*Planctomycetota* (*Pla4_lineage*),0.11,0,0,0,0,0,0.13,0.04,0.01,0.03,0.01,0.03
Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeales,*Candidatus_Iainarchaeum*,0.01,0.04,0,0,0.01,0.04,0.01,0.07,0.01,0.01,0.07,0.08
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,*Chlamydiales* (*cvE6*),0.08,0.02,0,0,0,0,0.07,0.03,0.01,0.01,0.03,0.08
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Genus of *Methylacidiphilaceae*,0.15,0,0,0,0,0.01,0.14,0,0,0.01,0.01,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,*Hyphomicrobium*,0.1,0,0.01,0,0,0.01,0.11,0,0.01,0.02,0,0.07
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales,*Dadabacteriales*,0.07,0.02,0.01,0,0.01,0,0.08,0.04,0,0.02,0.02,0.08
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,*Sphingobacteriales* (*NS11-12_marine_group*),0.04,0.01,0,0,0,0.01,0.1,0.03,0.01,0.06,0.02,0.04
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,*Legionella*,0.1,0.01,0.01,0,0,0,0.08,0.02,0.01,0.01,0,0.07
Bacteria,Chloroflexi,Dehalococcoidia,Sh765B-AG-111,Sh765B-AG-111,*Dehalococcoidia* (*Sh765B-AG-111*),0.04,0.04,0,0,0,0,0.03,0.03,0.02,0.02,0.02,0.11
Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,*Coxiella*,0.09,0,0.01,0,0.01,0,0.11,0.01,0,0,0.02,0.05
