Kingdom,Phylum,Class,Order,Family,Tax_label,ELLY27.29,ELLY31.33,ELLY36.38,ELLY40.42,ELLY52.54,ELLY56.58,ELLY61.63,ELLY65.67
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonas*,57440,44940,43440,4580,34530,7780,12400,3900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Ferribacterium*,74810,30810,36290,3860,40440,8920,2310,1280
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Genus of *Solimonadaceae*,30410,17830,25730,17580,16180,1860,39930,41840
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Novosphingobium*,14290,8210,78730,12910,6380,1020,33110,22650
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Genus of *Saprospiraceae*,37020,25720,38570,3270,50570,6350,9650,2700
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Rhodoferax*,52160,25570,28550,9290,30520,4320,11770,6600
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingorhabdus*,32500,15530,22660,25900,11830,3000,8490,42600
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*SH3-11*),40880,24380,55010,8210,9980,1510,12090,7800
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,*Clostridiaceae* (*Clostridium_sensu_stricto_1*),40320,49700,18080,24410,9330,6520,4020,6250
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Edaphobaculum*,27500,19840,31940,40930,6190,1160,15970,14400
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Cupriavidus*,1080,890,0,3040,50,150,460,151300
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Genus of *Verrucomicrobiaceae*,23050,25650,47940,3930,7790,850,16260,26850
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Family of Chitinophagales,Genus of *Chitinophagales*,43030,18270,21310,1240,16780,2390,22500,20550
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Brevundimonas*,2870,2120,2350,38390,3220,80,13140,83690
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Polynucleobacter*,22180,9840,22570,44640,4260,890,19490,16500
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,*Bosea*,1910,890,690,30620,1560,0,16010,86990
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Genus of *Rubinisphaeraceae*,18070,23800,36450,9320,20780,6380,13010,9300
Bacteria,Planctomycetota,OM190,OM190,OM190,*Planctomycetota* (*OM190*),26990,25280,50600,7420,10170,2880,5640,6900
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,*Candidatus_Nomurabacteria*,66050,11820,8060,2060,21210,610,15160,7350
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*DEV114*),26320,17560,70160,3060,8070,2320,2590,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,*Sphingobacteriales* (*env.OPS_17*),28910,8970,21420,1890,13560,1710,15100,33900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Leptothrix*,11490,32570,33740,1520,18970,1230,22280,3000
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,*Reyranella*,11770,9200,8710,38250,2950,520,9190,36200
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,*Hirschia*,16250,8780,24180,32430,9080,2060,4420,17400
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Malikia*,16350,11160,7020,72420,2960,410,1120,0
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,*Flavobacteriales* (*NS9_marine_group*),18690,8620,15290,2530,13030,3310,40890,4200
Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,*Parcubacteria*,56070,6860,10150,0,16520,240,12160,4050
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Genus of *Rickettsiaceae*,20550,12080,20820,11480,16620,3710,8100,8100
Bacteria,Proteobacteria,Class of Proteobacteria,Order of Proteobacteria,Family of Proteobacteria,Genus of *Proteobacteria*,21060,15480,10920,4360,600,20,5740,42290
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Delftia*,0,0,0,24250,0,0,260,75430
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,*Candidatus_Megaira*,24800,15200,9830,6110,23430,6820,10390,3300
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae*,12640,11500,36930,2600,16680,3030,9760,6300
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Phenylobacterium*,4570,4080,10070,12300,1870,230,4810,60740
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Ferruginibacter*,25520,15340,19930,7670,13490,3910,6650,6000
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,*Pedobacter*,9610,10330,6000,10170,2640,230,2940,55800
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,*Rhodobacter*,6600,7620,14370,22500,5640,1490,9580,27500
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Genus of *Rhodocyclaceae*,36190,14570,9230,4910,22260,4210,3120,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,*Cellvibrio*,43890,9040,2280,1570,23500,920,1960,8550
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,*Candidatus_Gortzia*,61760,23260,2170,1510,0,90,0,0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Terrimonas*,19440,11760,17280,6640,8460,1990,3130,19650
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,*Nevskia*,23280,18370,11760,9770,5780,820,2310,16200
Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,*Haliangium*,24670,16000,12930,3560,11180,2730,2820,13950
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,*Pseudorhodobacter*,5920,3710,6160,56590,2190,230,5180,2900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Thauera*,37980,19720,3680,4370,7420,1090,1600,4950
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,*Undibacterium*,9410,6390,5610,19960,10200,2060,3330,23500
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Sulfuritalea*,33070,12260,7530,0,18570,3060,4380,900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Aquabacterium*,23990,9280,1910,8660,10020,1780,3880,18200
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*[Agitococcus]_lubricus_group*,34550,6870,2220,1470,5840,470,2540,19150
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,*Haliscomenobacter*,7040,6600,16830,6930,10440,1370,4750,18750
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Limnohabitans*,6680,4790,4900,30260,1500,340,8610,15150
Bacteria,Proteobacteria,Gammaproteobacteria,CHAB-XI-27,CHAB-XI-27,*Gammaproteobacteria* (*CHAB-XI-27*),18520,9640,31280,10790,850,90,290,600
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Acidovorax*,15520,5600,2490,30050,4720,820,1900,10350
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Genus of *Holosporaceae*,22210,20380,14490,3960,5240,2400,1000,900
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*Acinetobacter*,40340,8280,3000,6280,5850,580,440,2550
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,*Microscillaceae* (*OLB12*),15300,7810,21870,4060,8970,1660,2650,1700
Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,*Vermiphilaceae*,6440,6540,4520,4880,12810,6760,9580,10500
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Genus of *Pirellulaceae*,6230,14990,9440,7440,7470,3620,5280,7500
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellula*,5660,8410,7320,2060,15850,6080,11640,4050
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Comamonas*,1710,1260,0,24710,7650,170,3020,20350
Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,*Caedibacter*,7910,15140,2980,1300,16720,6560,3090,3450
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,*Sphingobacteriales* (*AKYH767*),19890,10460,10180,260,11410,2500,1990,100
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Genus of *Sphingomonadaceae*,5120,6800,5290,16430,4920,980,2910,12150
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonadaceae* (*oc32*),4540,2800,11400,8380,3780,520,3910,18450
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Genus of *Pedosphaeraceae*,12900,9010,14350,0,12030,2510,2770,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,*Rickettsiales* (*AB1*),7150,4930,22130,17040,420,180,650,0
Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,*Leptospira*,41300,3120,2710,0,3550,580,0,1050
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Genus of *Paracaedibacteraceae*,11020,8940,11080,7020,2630,970,7340,1950
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,*Candidatus_Finniella*,9460,7690,14320,6280,4090,1630,4690,2550
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Family of Flavobacteriales,Genus of *Flavobacteriales*,2940,2530,1260,2560,430,40,1300,39290
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,*Brevifollis*,5010,6420,5570,6250,2970,340,3330,19350
Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriales,*Kapabacteriales*,15130,4820,9960,830,8110,560,4420,5100
Bacteria,Actinobacteriota,Actinobacteria,Order of Actinobacteria,Family of Actinobacteria,Genus of *Actinobacteria*,16740,9070,2880,2290,11210,1200,3700,1000
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,*Bdellovibrio*,26650,7890,4250,0,7730,880,270,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Genus of *Methylophilaceae*,1690,1020,6420,6500,340,90,1350,27000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Genus of *Rhodobacteraceae*,8450,5750,9800,9600,3650,610,1580,4100
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,*Pseudohongiella*,9450,7960,8320,8510,3030,430,1300,4500
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Family of Planctomycetales,Genus of *Planctomycetales*,2780,10730,6770,9140,4560,1270,5300,1950
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,*Fluviicola*,4320,2530,8300,7790,1340,150,8770,8900
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,*Rubinisphaeraceae* (*SH-PL14*),6200,6820,12880,4990,4420,1140,2750,1350
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,*Alcaligenaceae* (*GKS98_freshwater_group*),5350,4240,2380,5090,1150,200,17050,4900
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,*Dokdonella*,6560,5060,10570,2030,9380,2520,2410,1200
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,*Streptococcus*,24310,6340,900,1310,4870,250,0,750
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Genus of *Rhizobiales_Incertae_Sedis*,7520,5760,10910,3260,5250,1240,2990,1800
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Genus of *Alcaligenaceae*,0,0,0,8110,1510,70,1740,27000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Ralstonia*,0,0,0,1630,0,0,0,36690
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,*Hyphomicrobium*,6460,3610,10580,1810,4570,1710,4270,5100
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Genus of *Chitinophagaceae*,7890,5090,5690,1670,9210,1060,4830,2550
Bacteria,Myxococcota,Polyangia,Blfdi19,Blfdi19,*Polyangia* (*Blfdi19*),2880,2210,1920,390,16390,8090,1610,3300
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,*Noviherbaspirillum*,0,0,3100,2850,240,40,0,30200
Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Genus of *Caldilineaceae*,6090,5670,7360,0,10790,1900,2730,1800
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,*Legionella*,4810,2740,21990,2250,1800,680,910,530
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,*Chitinophagales* (*37-13*),9530,6030,6330,1020,5820,460,4450,1800
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Genus of *Rhizobiaceae*,6480,4160,8480,5240,3470,810,3990,2480
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,*Bdellovibrionaceae* (*OM27_clade*),6110,5220,2870,1690,4720,670,2070,10650
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,*Candidatus_Ovatusbacter*,1900,4400,0,2530,5500,2640,14400,1500
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,*Paludibacter*,23220,3920,400,600,3090,160,510,800
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Oikopleura*,5740,4130,10320,1530,5280,1490,4210,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,*Stenotrophomonas*,610,720,400,9530,4270,420,3470,12540
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,*Rickettsiales* (*SM2D12*),17210,8130,2480,780,1030,40,610,1350
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellulaceae* (*Pir4_lineage*),3110,5800,4400,4010,3700,2290,4610,3600
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,*Trichococcus*,16570,7170,1540,910,3800,510,310,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,*Sutterellaceae* (*AAP99*),9800,4660,6170,380,5070,620,3400,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Variovorax*,12510,6620,5210,0,3450,0,1670,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,LiUU-11-161,*Sphingobacteriales* (*LiUU-11-161*),9560,5000,3620,0,7270,1180,2280,500
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,*Hyphomonadaceae* (*SWB02*),1430,4410,4950,8450,5290,810,3240,600
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,*Lacunisphaera*,6430,4000,6920,0,5440,1260,2100,2700
Bacteria,Chloroflexi,Anaerolineae,1-20,1-20,*Anaerolineae* (*1-20*),3960,4160,8300,630,6750,1020,970,2550
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Genus of *Rikenellaceae*,18490,7070,540,0,1710,210,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,*Arenimonas*,3130,6860,3220,6790,2600,800,3850,0
Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,*Nannocystis*,6920,4530,6780,2030,1060,340,620,4950
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,*Pseudoxanthomonas*,1430,640,680,10190,760,60,1060,11700
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,*Tetrasphaera*,7300,5750,3670,0,7010,1870,680,0
Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Genus of *Sandaracinaceae*,6580,2000,3880,650,3140,900,2180,6600
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,*Oligoflexia* (*0319-6G20*),14030,6020,1570,0,2600,310,490,750
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,*Rhizobiales* (*A0839*),1690,8640,2430,1800,6600,750,3780,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Genus of *Microscillaceae*,5580,3590,7820,260,4350,840,2040,0
Bacteria,Proteobacteria,Gammaproteobacteria,Order of Gammaproteobacteria,Family of Gammaproteobacteria,Genus of *Gammaproteobacteria*,9590,6880,2300,1910,2170,660,820,80
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,*Halomonas*,7140,6330,3610,0,4750,840,690,900
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,*Acidithiobacillaceae* (*KCM-B-112*),2760,11020,120,0,8800,830,230,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Genus of *Prolixibacteraceae*,6320,4450,1540,0,9020,1770,520,0
Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Genus of *Isosphaeraceae*,4470,3960,1730,2330,930,140,1080,8800
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Caulobacter*,0,260,1300,5390,2410,60,9680,4050
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Ideonella*,6790,5160,2960,0,4860,680,2460,0
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,*Mycobacterium*,0,2160,13890,1280,1460,570,1110,1800
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Genus of *Rhodanobacteraceae*,6610,4460,3660,0,3860,1220,1320,1050
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*Perlucidibaca*,4390,1930,3100,3660,1130,120,1360,6300
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Propionivibrio*,5370,3200,2270,0,8750,1580,650,0
Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Family of Oligoflexales,Genus of *Oligoflexales*,2150,2910,15170,260,810,140,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,*Candidatus_Nitrotoga*,4320,3340,4120,0,7910,820,830,0
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Genus of *Microtrichaceae*,5690,3800,4160,0,5060,1170,950,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Genus of *Simkaniaceae*,6290,6580,2200,1820,980,500,1230,750
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,*Shinella*,120,0,0,3170,0,0,1130,15370
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Methyloversatilis*,900,540,860,3650,390,130,240,12450
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Rhodocyclaceae* (*C39*),12060,2500,2400,0,920,100,890,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,*Bacteroides*,12540,4090,200,160,1220,180,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Giesbergeria*,9930,3390,620,0,3510,240,510,0
Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,*Babeliales* (*UBA12409*),3100,1460,13250,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,*Luteimonas*,4310,4430,4590,0,2000,400,1800,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,*Intestinibacter*,3540,4450,1810,2780,1590,1170,700,1440
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Blastomonas*,0,0,0,1420,980,0,1420,13650
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,*Solirubrobacterales* (*67-14*),4530,3160,2530,0,3970,710,1440,900
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,*Crocinitomix*,6270,2290,4170,0,1270,200,810,2100
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Genus of *Flavobacteriaceae*,7620,4120,2860,0,1660,290,520,0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,*Saprospiraceae* (*OLB8*),4560,2890,1800,0,4070,930,490,1950
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Family of Chlamydiales,Genus of *Chlamydiales*,5950,3580,2910,3990,0,60,190,0
Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,*Gammaproteobacteria* (*Ga0077536*),5270,2530,4020,0,3420,620,730,0
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Family of Vicinamibacterales,Genus of *Vicinamibacterales*,0,3690,4350,760,4290,840,2040,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,*alphaI_cluster*,3320,2640,820,130,1010,0,2700,5250
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,*Chthoniobacter*,4310,2400,4220,0,2410,600,1680,0
Bacteria,WPS-2,WPS-2,WPS-2,WPS-2,*Bacteria* (*WPS-2*),4540,2920,2770,1630,1920,480,510,850
Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Genus of *Fibrobacteraceae*,8980,530,0,0,4090,60,0,1800
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,*Candidatus_Omnitrophus*,4550,6250,0,0,3800,860,0,0
